t,OR Category L1,OR Category L2,counts
-4959,Clients Products and Business Practices,Advisory Activity,1
-4948,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4926,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4918,Execution Delivery and Process Management,Clients' Accounts Management,1
-4918,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",4
-4902,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4881,Clients Products and Business Practices,Advisory Activity,1
-4878,Clients Products and Business Practices,Advisory Activity,1
-4875,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4874,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4861,Clients Products and Business Practices,Advisory Activity,2
-4837,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4834,Clients Products and Business Practices,Advisory Activity,1
-4828,Clients Products and Business Practices,Advisory Activity,2
-4826,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4806,Execution Delivery and Process Management,Contractual Customer Documents,1
-4806,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4794,Clients Products and Business Practices,Advisory Activity,1
-4785,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4784,External Fraud,Theft and Fraud (External Fraud),1
-4778,Clients Products and Business Practices,Advisory Activity,1
-4772,Clients Products and Business Practices,Advisory Activity,1
-4760,Business Disruption and System Failures,Systems Failure,1
-4746,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-4746,Internal Fraud,Theft and Fraud (Internal Fraud),1
-4733,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-4732,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4726,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4725,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4720,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4711,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4707,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4706,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4696,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4682,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4675,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4671,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4670,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4664,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4649,Execution Delivery and Process Management,Monitoring and Reporting,1
-4637,Employment Practices and Workplace Safety,Human Resources Management,1
-4633,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4594,Clients Products and Business Practices,Advisory Activity,1
-4592,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4572,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4562,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4561,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4552,Employment Practices and Workplace Safety,Human Resources Management,1
-4532,Clients Products and Business Practices,Advisory Activity,1
-4532,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4532,Internal Fraud,Unauthorised Activity,1
-4502,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4500,Execution Delivery and Process Management,Clients' Accounts Management,1
-4500,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4481,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4473,Clients Products and Business Practices,Improper Business or Market Practices,1
-4473,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4469,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4467,Clients Products and Business Practices,Advisory Activity,1
-4461,Clients Products and Business Practices,Improper Business or Market Practices,1
-4446,Execution Delivery and Process Management,Monitoring and Reporting,1
-4439,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4430,Clients Products and Business Practices,Advisory Activity,2
-4412,Execution Delivery and Process Management,Contractual Customer Documents,1
-4398,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-4392,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4389,Clients Products and Business Practices,Advisory Activity,1
-4382,Clients Products and Business Practices,Defective Products,1
-4381,Clients Products and Business Practices,Defective Products,1
-4381,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4376,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4372,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4369,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4368,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4367,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4362,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4361,Internal Fraud,Theft and Fraud (Internal Fraud),1
-4358,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4353,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4352,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4351,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4350,Execution Delivery and Process Management,Clients' Accounts Management,1
-4350,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4350,External Fraud,Theft and Fraud (External Fraud),1
-4349,Clients Products and Business Practices,Trade Counterparties,1
-4347,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4346,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4339,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4333,Execution Delivery and Process Management,Suppliers,1
-4331,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4330,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4326,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4323,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4321,Internal Fraud,Theft and Fraud (Internal Fraud),1
-4319,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4316,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4312,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4309,External Fraud,Theft and Fraud (External Fraud),1
-4306,External Fraud,Theft and Fraud (External Fraud),1
-4305,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4303,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4292,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4289,Clients Products and Business Practices,Advisory Activity,1
-4289,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-4288,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4284,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4283,Clients Products and Business Practices,Improper Business or Market Practices,1
-4282,External Fraud,Theft and Fraud (External Fraud),1
-4281,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4278,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4276,Clients Products and Business Practices,Advisory Activity,1
-4272,External Fraud,Theft and Fraud (External Fraud),1
-4264,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4263,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4262,Clients Products and Business Practices,Improper Business or Market Practices,1
-4259,Execution Delivery and Process Management,Suppliers,1
-4255,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4252,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4251,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4241,Internal Fraud,Theft and Fraud (Internal Fraud),1
-4239,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4229,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4228,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4222,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4220,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4219,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4218,Execution Delivery and Process Management,Contractual Customer Documents,1
-4218,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4214,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4213,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4212,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4211,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4205,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4204,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4201,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4200,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4199,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-4198,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-4197,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4194,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4186,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4180,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4178,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4177,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4176,Execution Delivery and Process Management,Contractual Customer Documents,1
-4176,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4172,Clients Products and Business Practices,Advisory Activity,1
-4171,Execution Delivery and Process Management,Clients' Accounts Management,1
-4167,Internal Fraud,Theft and Fraud (Internal Fraud),1
-4164,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4162,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4152,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4145,Execution Delivery and Process Management,Contractual Customer Documents,1
-4143,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4134,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4124,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4120,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4109,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4109,External Fraud,Theft and Fraud (External Fraud),1
-4107,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4095,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4075,Execution Delivery and Process Management,Monitoring and Reporting,1
-4068,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4064,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4053,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4032,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4016,Execution Delivery and Process Management,Contractual Customer Documents,1
-4015,Clients Products and Business Practices,Trade Counterparties,1
-4013,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4007,Execution Delivery and Process Management,Suppliers,1
-4005,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-4005,External Fraud,Theft and Fraud (External Fraud),1
-4003,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3993,Clients Products and Business Practices,Advisory Activity,1
-3993,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3988,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3987,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3986,Clients Products and Business Practices,Advisory Activity,2
-3985,Clients Products and Business Practices,Improper Business or Market Practices,1
-3979,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3975,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3974,Clients Products and Business Practices,Advisory Activity,1
-3968,Clients Products and Business Practices,Advisory Activity,1
-3959,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3957,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-3952,Clients Products and Business Practices,Advisory Activity,1
-3950,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3947,Clients Products and Business Practices,Advisory Activity,1
-3947,Execution Delivery and Process Management,Clients' Accounts Management,1
-3946,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3944,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3940,Execution Delivery and Process Management,Suppliers,1
-3940,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3936,Clients Products and Business Practices,Advisory Activity,1
-3933,Clients Products and Business Practices,Advisory Activity,1
-3930,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3929,Clients Products and Business Practices,Improper Business or Market Practices,1
-3929,Execution Delivery and Process Management,Suppliers,1
-3929,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3925,Clients Products and Business Practices,Improper Business or Market Practices,2
-3925,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3922,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3919,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3917,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3909,Clients Products and Business Practices,Advisory Activity,2
-3904,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3903,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3901,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3895,External Fraud,Theft and Fraud (External Fraud),1
-3894,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3884,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3881,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3877,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3876,Internal Fraud,Unauthorised Activity,1
-3875,Clients Products and Business Practices,Advisory Activity,1
-3873,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3873,Internal Fraud,Unauthorised Activity,1
-3871,Clients Products and Business Practices,Improper Business or Market Practices,1
-3868,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-3860,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-3856,Clients Products and Business Practices,Improper Business or Market Practices,1
-3856,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3855,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3852,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3847,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3842,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3841,Clients Products and Business Practices,Advisory Activity,1
-3841,Execution Delivery and Process Management,Suppliers,1
-3839,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3836,External Fraud,Theft and Fraud (External Fraud),1
-3827,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3821,Execution Delivery and Process Management,Suppliers,1
-3821,Internal Fraud,Theft and Fraud (Internal Fraud),1
-3818,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3814,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3807,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3800,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-3798,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3796,External Fraud,Theft and Fraud (External Fraud),1
-3785,Execution Delivery and Process Management,Clients' Accounts Management,1
-3779,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3757,Execution Delivery and Process Management,Clients' Accounts Management,1
-3755,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3754,Execution Delivery and Process Management,Contractual Customer Documents,1
-3754,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3750,External Fraud,Theft and Fraud (External Fraud),3
-3749,Clients Products and Business Practices,Advisory Activity,1
-3749,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3748,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3744,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3743,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3742,Execution Delivery and Process Management,Suppliers,1
-3742,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3734,Execution Delivery and Process Management,Suppliers,1
-3734,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3730,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3729,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3726,Clients Products and Business Practices,"Suitability, Information Disclosure and Fiduciary Duty",1
-3726,Execution Delivery and Process Management,Suppliers,1
-3720,Clients Products and Business Practices,Improper Business or Market Practices,1
-3720,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3719,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3716,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-3712,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3709,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",5
-3708,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3700,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-3699,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3696,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3694,Clients Products and Business Practices,Advisory Activity,1
-3692,Clients Products and Business Practices,Advisory Activity,1
-3692,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3686,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3685,Execution Delivery and Process Management,Monitoring and Reporting,1
-3685,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3684,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3682,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3681,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3680,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3679,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3678,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3677,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-3674,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-3673,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3670,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3667,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3665,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3664,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3660,External Fraud,Theft and Fraud (External Fraud),1
-3653,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3652,Internal Fraud,Theft and Fraud (Internal Fraud),1
-3651,Clients Products and Business Practices,Improper Business or Market Practices,1
-3651,Clients Products and Business Practices,Trade Counterparties,2
-3651,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-3651,External Fraud,Theft and Fraud (External Fraud),1
-3651,Internal Fraud,Theft and Fraud (Internal Fraud),1
-3649,Execution Delivery and Process Management,Clients' Accounts Management,1
-3649,Internal Fraud,Theft and Fraud (Internal Fraud),1
-3647,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3644,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3641,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3640,Clients Products and Business Practices,Improper Business or Market Practices,2
-3640,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3636,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3633,Clients Products and Business Practices,Advisory Activity,1
-3630,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3628,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3626,Execution Delivery and Process Management,Monitoring and Reporting,1
-3626,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3620,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3619,Clients Products and Business Practices,Advisory Activity,1
-3613,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3608,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3607,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3606,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3602,Clients Products and Business Practices,Improper Business or Market Practices,1
-3600,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3599,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3598,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3592,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3591,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3588,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3587,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3586,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-3585,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3574,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3572,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3571,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",2
-3570,Clients Products and Business Practices,Advisory Activity,1
-3567,External Fraud,Theft and Fraud (External Fraud),1
-3564,Clients Products and Business Practices,Advisory Activity,1
-3564,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3563,Clients Products and Business Practices,Advisory Activity,1
-3558,Execution Delivery and Process Management,Suppliers,1
-3556,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3553,Clients Products and Business Practices,Advisory Activity,1
-3550,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",3
-3549,Clients Products and Business Practices,Advisory Activity,1
-3546,Business Disruption and System Failures,Systems Failure,1
-3544,Execution Delivery and Process Management,Clients' Accounts Management,1
-3543,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3542,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3539,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3537,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3535,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
-3529,Execution Delivery and Process Management,"Transaction Capture, Execution and Maintenance",1
