"t" "L1_cat" "L2_cat" "count"
-1768 "EDPM" "TCEM" 1
-1767 "EDPM" "TCEM" 6
-1766 "EDPM" "TCEM" 2
-1765 "EDPM" "TCEM" 2
-1764 "EDPM" "TCEM" 1
-1763 "EDPM" "TCEM" 1
-1762 "EDPM" "TCEM" 2
-1761 "EDPM" "TCEM" 0
-1760 "EDPM" "TCEM" 2
-1759 "EDPM" "TCEM" 2
-1758 "EDPM" "TCEM" 3
-1757 "EDPM" "TCEM" 0
-1756 "EDPM" "TCEM" 1
-1755 "EDPM" "TCEM" 1
-1754 "EDPM" "TCEM" 1
-1753 "EDPM" "TCEM" 0
-1752 "EDPM" "TCEM" 2
-1751 "EDPM" "TCEM" 0
-1750 "EDPM" "TCEM" 0
-1749 "EDPM" "TCEM" 1
-1748 "EDPM" "TCEM" 1
-1747 "EDPM" "TCEM" 2
-1746 "EDPM" "TCEM" 0
-1745 "EDPM" "TCEM" 2
-1744 "EDPM" "TCEM" 1
-1743 "EDPM" "TCEM" 3
-1742 "EDPM" "TCEM" 2
-1741 "EDPM" "TCEM" 1
-1740 "EDPM" "TCEM" 0
-1739 "EDPM" "TCEM" 3
-1738 "EDPM" "TCEM" 1
-1737 "EDPM" "TCEM" 1
-1736 "EDPM" "TCEM" 1
-1735 "EDPM" "TCEM" 1
-1734 "EDPM" "TCEM" 2
-1733 "EDPM" "TCEM" 2
-1732 "EDPM" "TCEM" 1
-1731 "EDPM" "TCEM" 1
-1730 "EDPM" "TCEM" 3
-1729 "EDPM" "TCEM" 0
-1728 "EDPM" "TCEM" 0
-1727 "EDPM" "TCEM" 3
-1726 "EDPM" "TCEM" 1
-1725 "EDPM" "TCEM" 2
-1724 "EDPM" "TCEM" 0
-1723 "EDPM" "TCEM" 0
-1722 "EDPM" "TCEM" 2
-1721 "EDPM" "TCEM" 1
-1720 "EDPM" "TCEM" 0
-1719 "EDPM" "TCEM" 3
-1718 "EDPM" "TCEM" 3
-1717 "EDPM" "TCEM" 2
-1716 "EDPM" "TCEM" 0
-1715 "EDPM" "TCEM" 1
-1714 "EDPM" "TCEM" 3
-1713 "EDPM" "TCEM" 2
-1712 "EDPM" "TCEM" 0
-1711 "EDPM" "TCEM" 0
-1710 "EDPM" "TCEM" 0
-1709 "EDPM" "TCEM" 0
-1708 "EDPM" "TCEM" 2
-1707 "EDPM" "TCEM" 1
-1706 "EDPM" "TCEM" 0
-1705 "EDPM" "TCEM" 3
-1704 "EDPM" "TCEM" 0
-1703 "EDPM" "TCEM" 1
-1702 "EDPM" "TCEM" 0
-1701 "EDPM" "TCEM" 1
-1700 "EDPM" "TCEM" 1
-1699 "EDPM" "TCEM" 2
-1698 "EDPM" "TCEM" 0
-1697 "EDPM" "TCEM" 1
-1696 "EDPM" "TCEM" 1
-1695 "EDPM" "TCEM" 3
-1694 "EDPM" "TCEM" 0
-1693 "EDPM" "TCEM" 1
-1692 "EDPM" "TCEM" 1
-1691 "EDPM" "TCEM" 2
-1690 "EDPM" "TCEM" 2
-1689 "EDPM" "TCEM" 1
-1688 "EDPM" "TCEM" 1
-1687 "EDPM" "TCEM" 0
-1686 "EDPM" "TCEM" 1
-1685 "EDPM" "TCEM" 0
-1684 "EDPM" "TCEM" 2
-1683 "EDPM" "TCEM" 2
-1682 "EDPM" "TCEM" 3
-1681 "EDPM" "TCEM" 0
-1680 "EDPM" "TCEM" 1
-1679 "EDPM" "TCEM" 1
-1678 "EDPM" "TCEM" 1
-1677 "EDPM" "TCEM" 1
-1676 "EDPM" "TCEM" 0
-1675 "EDPM" "TCEM" 2
-1674 "EDPM" "TCEM" 0
-1673 "EDPM" "TCEM" 2
-1672 "EDPM" "TCEM" 2
-1671 "EDPM" "TCEM" 1
-1670 "EDPM" "TCEM" 5
-1669 "EDPM" "TCEM" 3
-1668 "EDPM" "TCEM" 2
-1667 "EDPM" "TCEM" 2
-1666 "EDPM" "TCEM" 0
-1665 "EDPM" "TCEM" 1
-1664 "EDPM" "TCEM" 2
-1663 "EDPM" "TCEM" 1
-1662 "EDPM" "TCEM" 1
-1661 "EDPM" "TCEM" 1
-1660 "EDPM" "TCEM" 2
-1659 "EDPM" "TCEM" 2
-1658 "EDPM" "TCEM" 1
-1657 "EDPM" "TCEM" 1
-1656 "EDPM" "TCEM" 1
-1655 "EDPM" "TCEM" 1
-1654 "EDPM" "TCEM" 1
-1653 "EDPM" "TCEM" 1
-1652 "EDPM" "TCEM" 2
-1651 "EDPM" "TCEM" 2
-1650 "EDPM" "TCEM" 1
-1649 "EDPM" "TCEM" 1
-1648 "EDPM" "TCEM" 1
-1647 "EDPM" "TCEM" 1
-1646 "EDPM" "TCEM" 0
-1645 "EDPM" "TCEM" 0
-1644 "EDPM" "TCEM" 2
-1643 "EDPM" "TCEM" 1
-1642 "EDPM" "TCEM" 0
-1641 "EDPM" "TCEM" 2
-1640 "EDPM" "TCEM" 1
-1639 "EDPM" "TCEM" 1
-1638 "EDPM" "TCEM" 1
-1637 "EDPM" "TCEM" 1
-1636 "EDPM" "TCEM" 0
-1635 "EDPM" "TCEM" 2
-1634 "EDPM" "TCEM" 2
-1633 "EDPM" "TCEM" 2
-1632 "EDPM" "TCEM" 1
-1631 "EDPM" "TCEM" 2
-1630 "EDPM" "TCEM" 2
-1629 "EDPM" "TCEM" 1
-1628 "EDPM" "TCEM" 1
-1627 "EDPM" "TCEM" 1
-1626 "EDPM" "TCEM" 3
-1625 "EDPM" "TCEM" 0
-1624 "EDPM" "TCEM" 1
-1623 "EDPM" "TCEM" 1
-1622 "EDPM" "TCEM" 0
-1621 "EDPM" "TCEM" 2
-1620 "EDPM" "TCEM" 1
-1619 "EDPM" "TCEM" 1
-1618 "EDPM" "TCEM" 1
-1617 "EDPM" "TCEM" 1
-1616 "EDPM" "TCEM" 0
-1615 "EDPM" "TCEM" 1
-1614 "EDPM" "TCEM" 2
-1613 "EDPM" "TCEM" 0
-1612 "EDPM" "TCEM" 1
-1611 "EDPM" "TCEM" 1
-1610 "EDPM" "TCEM" 2
-1609 "EDPM" "TCEM" 1
-1608 "EDPM" "TCEM" 2
-1607 "EDPM" "TCEM" 2
-1606 "EDPM" "TCEM" 1
-1605 "EDPM" "TCEM" 1
-1604 "EDPM" "TCEM" 1
-1603 "EDPM" "TCEM" 1
-1602 "EDPM" "TCEM" 0
-1601 "EDPM" "TCEM" 2
-1600 "EDPM" "TCEM" 2
-1599 "EDPM" "TCEM" 2
-1598 "EDPM" "TCEM" 2
-1597 "EDPM" "TCEM" 1
-1596 "EDPM" "TCEM" 0
-1595 "EDPM" "TCEM" 2
-1594 "EDPM" "TCEM" 0
-1593 "EDPM" "TCEM" 1
-1592 "EDPM" "TCEM" 2
-1591 "EDPM" "TCEM" 2
-1590 "EDPM" "TCEM" 0
-1589 "EDPM" "TCEM" 0
-1588 "EDPM" "TCEM" 1
-1587 "EDPM" "TCEM" 2
-1586 "EDPM" "TCEM" 0
-1585 "EDPM" "TCEM" 2
-1584 "EDPM" "TCEM" 3
-1583 "EDPM" "TCEM" 2
-1582 "EDPM" "TCEM" 4
-1581 "EDPM" "TCEM" 0
-1580 "EDPM" "TCEM" 3
-1579 "EDPM" "TCEM" 1
-1578 "EDPM" "TCEM" 3
-1577 "EDPM" "TCEM" 1
-1576 "EDPM" "TCEM" 2
-1575 "EDPM" "TCEM" 0
-1574 "EDPM" "TCEM" 0
-1573 "EDPM" "TCEM" 2
-1572 "EDPM" "TCEM" 0
-1571 "EDPM" "TCEM" 1
-1570 "EDPM" "TCEM" 1
-1569 "EDPM" "TCEM" 1
-1568 "EDPM" "TCEM" 1
-1567 "EDPM" "TCEM" 2
-1566 "EDPM" "TCEM" 4
-1565 "EDPM" "TCEM" 0
-1564 "EDPM" "TCEM" 1
-1563 "EDPM" "TCEM" 0
-1562 "EDPM" "TCEM" 1
-1561 "EDPM" "TCEM" 3
-1560 "EDPM" "TCEM" 3
-1559 "EDPM" "TCEM" 0
-1558 "EDPM" "TCEM" 0
-1557 "EDPM" "TCEM" 0
-1556 "EDPM" "TCEM" 1
-1555 "EDPM" "TCEM" 2
-1554 "EDPM" "TCEM" 0
-1553 "EDPM" "TCEM" 4
-1552 "EDPM" "TCEM" 2
-1551 "EDPM" "TCEM" 3
-1550 "EDPM" "TCEM" 2
-1549 "EDPM" "TCEM" 0
-1548 "EDPM" "TCEM" 1
-1547 "EDPM" "TCEM" 0
-1546 "EDPM" "TCEM" 1
-1545 "EDPM" "TCEM" 0
-1544 "EDPM" "TCEM" 2
-1543 "EDPM" "TCEM" 2
-1542 "EDPM" "TCEM" 2
-1541 "EDPM" "TCEM" 0
-1540 "EDPM" "TCEM" 2
-1539 "EDPM" "TCEM" 1
-1538 "EDPM" "TCEM" 2
-1537 "EDPM" "TCEM" 2
-1536 "EDPM" "TCEM" 1
-1535 "EDPM" "TCEM" 2
-1534 "EDPM" "TCEM" 3
-1533 "EDPM" "TCEM" 1
-1532 "EDPM" "TCEM" 1
-1531 "EDPM" "TCEM" 1
-1530 "EDPM" "TCEM" 0
-1529 "EDPM" "TCEM" 0
-1528 "EDPM" "TCEM" 1
-1527 "EDPM" "TCEM" 0
-1526 "EDPM" "TCEM" 1
-1525 "EDPM" "TCEM" 2
-1524 "EDPM" "TCEM" 0
-1523 "EDPM" "TCEM" 0
-1522 "EDPM" "TCEM" 4
-1521 "EDPM" "TCEM" 0
-1520 "EDPM" "TCEM" 3
-1519 "EDPM" "TCEM" 0
-1518 "EDPM" "TCEM" 0
-1517 "EDPM" "TCEM" 0
-1516 "EDPM" "TCEM" 2
-1515 "EDPM" "TCEM" 1
-1514 "EDPM" "TCEM" 2
-1513 "EDPM" "TCEM" 2
-1512 "EDPM" "TCEM" 0
-1511 "EDPM" "TCEM" 2
-1510 "EDPM" "TCEM" 3
-1509 "EDPM" "TCEM" 1
-1508 "EDPM" "TCEM" 0
-1507 "EDPM" "TCEM" 1
-1506 "EDPM" "TCEM" 3
-1505 "EDPM" "TCEM" 2
-1504 "EDPM" "TCEM" 0
-1503 "EDPM" "TCEM" 2
-1502 "EDPM" "TCEM" 1
-1501 "EDPM" "TCEM" 1
-1500 "EDPM" "TCEM" 1
-1499 "EDPM" "TCEM" 1
-1498 "EDPM" "TCEM" 1
-1497 "EDPM" "TCEM" 1
-1496 "EDPM" "TCEM" 0
-1495 "EDPM" "TCEM" 1
-1494 "EDPM" "TCEM" 1
-1493 "EDPM" "TCEM" 2
-1492 "EDPM" "TCEM" 2
-1491 "EDPM" "TCEM" 1
-1490 "EDPM" "TCEM" 0
-1489 "EDPM" "TCEM" 5
-1488 "EDPM" "TCEM" 2
-1487 "EDPM" "TCEM" 0
-1486 "EDPM" "TCEM" 2
-1485 "EDPM" "TCEM" 1
-1484 "EDPM" "TCEM" 1
-1483 "EDPM" "TCEM" 1
-1482 "EDPM" "TCEM" 2
-1481 "EDPM" "TCEM" 2
-1480 "EDPM" "TCEM" 3
-1479 "EDPM" "TCEM" 1
-1478 "EDPM" "TCEM" 0
-1477 "EDPM" "TCEM" 1
-1476 "EDPM" "TCEM" 0
-1475 "EDPM" "TCEM" 2
-1474 "EDPM" "TCEM" 2
-1473 "EDPM" "TCEM" 1
-1472 "EDPM" "TCEM" 0
-1471 "EDPM" "TCEM" 1
-1470 "EDPM" "TCEM" 2
-1469 "EDPM" "TCEM" 2
-1468 "EDPM" "TCEM" 1
-1467 "EDPM" "TCEM" 0
-1466 "EDPM" "TCEM" 1
-1465 "EDPM" "TCEM" 1
-1464 "EDPM" "TCEM" 3
-1463 "EDPM" "TCEM" 1
-1462 "EDPM" "TCEM" 2
-1461 "EDPM" "TCEM" 5
-1460 "EDPM" "TCEM" 1
-1459 "EDPM" "TCEM" 2
-1458 "EDPM" "TCEM" 4
-1457 "EDPM" "TCEM" 2
-1456 "EDPM" "TCEM" 0
-1455 "EDPM" "TCEM" 1
-1454 "EDPM" "TCEM" 3
-1453 "EDPM" "TCEM" 5
-1452 "EDPM" "TCEM" 2
-1451 "EDPM" "TCEM" 2
-1450 "EDPM" "TCEM" 2
-1449 "EDPM" "TCEM" 2
-1448 "EDPM" "TCEM" 1
-1447 "EDPM" "TCEM" 2
-1446 "EDPM" "TCEM" 1
-1445 "EDPM" "TCEM" 2
-1444 "EDPM" "TCEM" 1
-1443 "EDPM" "TCEM" 2
-1442 "EDPM" "TCEM" 2
-1441 "EDPM" "TCEM" 1
-1440 "EDPM" "TCEM" 3
-1439 "EDPM" "TCEM" 3
-1438 "EDPM" "TCEM" 2
-1437 "EDPM" "TCEM" 1
-1436 "EDPM" "TCEM" 1
-1435 "EDPM" "TCEM" 0
-1434 "EDPM" "TCEM" 1
-1433 "EDPM" "TCEM" 2
-1432 "EDPM" "TCEM" 1
-1431 "EDPM" "TCEM" 0
-1430 "EDPM" "TCEM" 0
-1429 "EDPM" "TCEM" 0
-1428 "EDPM" "TCEM" 1
-1427 "EDPM" "TCEM" 3
-1426 "EDPM" "TCEM" 4
-1425 "EDPM" "TCEM" 2
-1424 "EDPM" "TCEM" 1
-1423 "EDPM" "TCEM" 0
-1422 "EDPM" "TCEM" 3
-1421 "EDPM" "TCEM" 1
-1420 "EDPM" "TCEM" 1
-1419 "EDPM" "TCEM" 1
-1418 "EDPM" "TCEM" 2
-1417 "EDPM" "TCEM" 2
-1416 "EDPM" "TCEM" 3
-1415 "EDPM" "TCEM" 3
-1414 "EDPM" "TCEM" 1
-1413 "EDPM" "TCEM" 0
-1412 "EDPM" "TCEM" 3
-1411 "EDPM" "TCEM" 1
-1410 "EDPM" "TCEM" 2
-1409 "EDPM" "TCEM" 2
-1408 "EDPM" "TCEM" 1
-1407 "EDPM" "TCEM" 2
-1406 "EDPM" "TCEM" 3
-1405 "EDPM" "TCEM" 2
-1404 "EDPM" "TCEM" 0
-1403 "EDPM" "TCEM" 1
-1402 "EDPM" "TCEM" 2
-1401 "EDPM" "TCEM" 2
-1400 "EDPM" "TCEM" 1
-1399 "EDPM" "TCEM" 2
-1398 "EDPM" "TCEM" 0
-1397 "EDPM" "TCEM" 4
-1396 "EDPM" "TCEM" 1
-1395 "EDPM" "TCEM" 2
-1394 "EDPM" "TCEM" 2
-1393 "EDPM" "TCEM" 0
-1392 "EDPM" "TCEM" 1
-1391 "EDPM" "TCEM" 1
-1390 "EDPM" "TCEM" 0
-1389 "EDPM" "TCEM" 4
-1388 "EDPM" "TCEM" 0
-1387 "EDPM" "TCEM" 1
-1386 "EDPM" "TCEM" 0
-1385 "EDPM" "TCEM" 2
-1384 "EDPM" "TCEM" 4
-1383 "EDPM" "TCEM" 2
-1382 "EDPM" "TCEM" 0
-1381 "EDPM" "TCEM" 0
-1380 "EDPM" "TCEM" 0
-1379 "EDPM" "TCEM" 2
-1378 "EDPM" "TCEM" 2
-1377 "EDPM" "TCEM" 2
-1376 "EDPM" "TCEM" 3
-1375 "EDPM" "TCEM" 0
-1374 "EDPM" "TCEM" 2
-1373 "EDPM" "TCEM" 0
-1372 "EDPM" "TCEM" 5
-1371 "EDPM" "TCEM" 1
-1370 "EDPM" "TCEM" 3
-1369 "EDPM" "TCEM" 1
-1368 "EDPM" "TCEM" 2
-1367 "EDPM" "TCEM" 0
-1366 "EDPM" "TCEM" 0
-1365 "EDPM" "TCEM" 1
-1364 "EDPM" "TCEM" 2
-1363 "EDPM" "TCEM" 2
-1362 "EDPM" "TCEM" 0
-1361 "EDPM" "TCEM" 4
-1360 "EDPM" "TCEM" 1
-1359 "EDPM" "TCEM" 1
-1358 "EDPM" "TCEM" 1
-1357 "EDPM" "TCEM" 5
-1356 "EDPM" "TCEM" 0
-1355 "EDPM" "TCEM" 1
-1354 "EDPM" "TCEM" 3
-1353 "EDPM" "TCEM" 0
-1352 "EDPM" "TCEM" 1
-1351 "EDPM" "TCEM" 0
-1350 "EDPM" "TCEM" 3
-1349 "EDPM" "TCEM" 5
-1348 "EDPM" "TCEM" 1
-1347 "EDPM" "TCEM" 3
-1346 "EDPM" "TCEM" 1
-1345 "EDPM" "TCEM" 1
-1344 "EDPM" "TCEM" 1
-1343 "EDPM" "TCEM" 0
-1342 "EDPM" "TCEM" 1
-1341 "EDPM" "TCEM" 1
-1340 "EDPM" "TCEM" 4
-1339 "EDPM" "TCEM" 1
-1338 "EDPM" "TCEM" 2
-1337 "EDPM" "TCEM" 1
-1336 "EDPM" "TCEM" 0
-1335 "EDPM" "TCEM" 2
-1334 "EDPM" "TCEM" 2
-1333 "EDPM" "TCEM" 0
-1332 "EDPM" "TCEM" 2
-1331 "EDPM" "TCEM" 3
-1330 "EDPM" "TCEM" 2
-1329 "EDPM" "TCEM" 0
-1328 "EDPM" "TCEM" 1
-1327 "EDPM" "TCEM" 0
-1326 "EDPM" "TCEM" 2
-1325 "EDPM" "TCEM" 0
-1324 "EDPM" "TCEM" 3
-1323 "EDPM" "TCEM" 2
-1322 "EDPM" "TCEM" 1
-1321 "EDPM" "TCEM" 2
-1320 "EDPM" "TCEM" 3
-1319 "EDPM" "TCEM" 2
-1318 "EDPM" "TCEM" 2
-1317 "EDPM" "TCEM" 1
-1316 "EDPM" "TCEM" 0
-1315 "EDPM" "TCEM" 1
-1314 "EDPM" "TCEM" 0
-1313 "EDPM" "TCEM" 3
-1312 "EDPM" "TCEM" 0
-1311 "EDPM" "TCEM" 3
-1310 "EDPM" "TCEM" 3
-1309 "EDPM" "TCEM" 3
-1308 "EDPM" "TCEM" 1
-1307 "EDPM" "TCEM" 2
-1306 "EDPM" "TCEM" 2
-1305 "EDPM" "TCEM" 3
-1304 "EDPM" "TCEM" 1
-1303 "EDPM" "TCEM" 2
-1302 "EDPM" "TCEM" 4
-1301 "EDPM" "TCEM" 2
-1300 "EDPM" "TCEM" 3
-1299 "EDPM" "TCEM" 2
-1298 "EDPM" "TCEM" 2
-1297 "EDPM" "TCEM" 1
-1296 "EDPM" "TCEM" 1
-1295 "EDPM" "TCEM" 3
-1294 "EDPM" "TCEM" 5
-1293 "EDPM" "TCEM" 1
-1292 "EDPM" "TCEM" 2
-1291 "EDPM" "TCEM" 0
-1290 "EDPM" "TCEM" 0
-1289 "EDPM" "TCEM" 3
-1288 "EDPM" "TCEM" 2
-1287 "EDPM" "TCEM" 0
-1286 "EDPM" "TCEM" 1
-1285 "EDPM" "TCEM" 3
-1284 "EDPM" "TCEM" 3
-1283 "EDPM" "TCEM" 0
-1282 "EDPM" "TCEM" 0
-1281 "EDPM" "TCEM" 4
-1280 "EDPM" "TCEM" 2
-1279 "EDPM" "TCEM" 1
-1278 "EDPM" "TCEM" 0
-1277 "EDPM" "TCEM" 2
-1276 "EDPM" "TCEM" 1
-1275 "EDPM" "TCEM" 1
-1274 "EDPM" "TCEM" 5
-1273 "EDPM" "TCEM" 0
-1272 "EDPM" "TCEM" 2
-1271 "EDPM" "TCEM" 2
-1270 "EDPM" "TCEM" 1
-1269 "EDPM" "TCEM" 2
-1268 "EDPM" "TCEM" 1
-1267 "EDPM" "TCEM" 2
-1266 "EDPM" "TCEM" 3
-1265 "EDPM" "TCEM" 0
-1264 "EDPM" "TCEM" 0
-1263 "EDPM" "TCEM" 2
-1262 "EDPM" "TCEM" 0
-1261 "EDPM" "TCEM" 2
-1260 "EDPM" "TCEM" 0
-1259 "EDPM" "TCEM" 0
-1258 "EDPM" "TCEM" 0
-1257 "EDPM" "TCEM" 0
-1256 "EDPM" "TCEM" 2
-1255 "EDPM" "TCEM" 3
-1254 "EDPM" "TCEM" 2
-1253 "EDPM" "TCEM" 1
-1252 "EDPM" "TCEM" 2
-1251 "EDPM" "TCEM" 3
-1250 "EDPM" "TCEM" 3
-1249 "EDPM" "TCEM" 5
-1248 "EDPM" "TCEM" 3
-1247 "EDPM" "TCEM" 0
-1246 "EDPM" "TCEM" 0
-1245 "EDPM" "TCEM" 0
-1244 "EDPM" "TCEM" 4
-1243 "EDPM" "TCEM" 0
-1242 "EDPM" "TCEM" 1
-1241 "EDPM" "TCEM" 1
-1240 "EDPM" "TCEM" 2
-1239 "EDPM" "TCEM" 0
-1238 "EDPM" "TCEM" 1
-1237 "EDPM" "TCEM" 2
-1236 "EDPM" "TCEM" 1
-1235 "EDPM" "TCEM" 1
-1234 "EDPM" "TCEM" 1
-1233 "EDPM" "TCEM" 0
-1232 "EDPM" "TCEM" 1
-1231 "EDPM" "TCEM" 3
-1230 "EDPM" "TCEM" 2
-1229 "EDPM" "TCEM" 1
-1228 "EDPM" "TCEM" 4
-1227 "EDPM" "TCEM" 0
-1226 "EDPM" "TCEM" 1
-1225 "EDPM" "TCEM" 4
-1224 "EDPM" "TCEM" 1
-1223 "EDPM" "TCEM" 5
-1222 "EDPM" "TCEM" 2
-1221 "EDPM" "TCEM" 1
-1220 "EDPM" "TCEM" 1
-1219 "EDPM" "TCEM" 4
-1218 "EDPM" "TCEM" 0
-1217 "EDPM" "TCEM" 0
-1216 "EDPM" "TCEM" 4
-1215 "EDPM" "TCEM" 3
-1214 "EDPM" "TCEM" 2
-1213 "EDPM" "TCEM" 3
-1212 "EDPM" "TCEM" 1
-1211 "EDPM" "TCEM" 3
-1210 "EDPM" "TCEM" 4
-1209 "EDPM" "TCEM" 1
-1208 "EDPM" "TCEM" 3
-1207 "EDPM" "TCEM" 2
-1206 "EDPM" "TCEM" 2
-1205 "EDPM" "TCEM" 1
-1204 "EDPM" "TCEM" 0
-1203 "EDPM" "TCEM" 4
-1202 "EDPM" "TCEM" 1
-1201 "EDPM" "TCEM" 2
-1200 "EDPM" "TCEM" 3
-1199 "EDPM" "TCEM" 1
-1198 "EDPM" "TCEM" 1
-1197 "EDPM" "TCEM" 1
-1196 "EDPM" "TCEM" 1
-1195 "EDPM" "TCEM" 5
-1194 "EDPM" "TCEM" 1
-1193 "EDPM" "TCEM" 0
-1192 "EDPM" "TCEM" 3
-1191 "EDPM" "TCEM" 0
-1190 "EDPM" "TCEM" 1
-1189 "EDPM" "TCEM" 5
-1188 "EDPM" "TCEM" 2
-1187 "EDPM" "TCEM" 8
-1186 "EDPM" "TCEM" 2
-1185 "EDPM" "TCEM" 4
-1184 "EDPM" "TCEM" 2
-1183 "EDPM" "TCEM" 2
-1182 "EDPM" "TCEM" 2
-1181 "EDPM" "TCEM" 3
-1180 "EDPM" "TCEM" 3
-1179 "EDPM" "TCEM" 2
-1178 "EDPM" "TCEM" 3
-1177 "EDPM" "TCEM" 4
-1176 "EDPM" "TCEM" 4
-1175 "EDPM" "TCEM" 2
-1174 "EDPM" "TCEM" 2
-1173 "EDPM" "TCEM" 0
-1172 "EDPM" "TCEM" 3
-1171 "EDPM" "TCEM" 1
-1170 "EDPM" "TCEM" 2
-1169 "EDPM" "TCEM" 1
-1168 "EDPM" "TCEM" 3
-1167 "EDPM" "TCEM" 1
-1166 "EDPM" "TCEM" 1
-1165 "EDPM" "TCEM" 0
-1164 "EDPM" "TCEM" 1
-1163 "EDPM" "TCEM" 2
-1162 "EDPM" "TCEM" 1
-1161 "EDPM" "TCEM" 4
-1160 "EDPM" "TCEM" 3
-1159 "EDPM" "TCEM" 3
-1158 "EDPM" "TCEM" 1
-1157 "EDPM" "TCEM" 0
-1156 "EDPM" "TCEM" 2
-1155 "EDPM" "TCEM" 5
-1154 "EDPM" "TCEM" 3
-1153 "EDPM" "TCEM" 5
-1152 "EDPM" "TCEM" 0
-1151 "EDPM" "TCEM" 2
-1150 "EDPM" "TCEM" 3
-1149 "EDPM" "TCEM" 1
-1148 "EDPM" "TCEM" 0
-1147 "EDPM" "TCEM" 2
-1146 "EDPM" "TCEM" 4
-1145 "EDPM" "TCEM" 3
-1144 "EDPM" "TCEM" 3
-1143 "EDPM" "TCEM" 4
-1142 "EDPM" "TCEM" 5
-1141 "EDPM" "TCEM" 0
-1140 "EDPM" "TCEM" 1
-1139 "EDPM" "TCEM" 2
-1138 "EDPM" "TCEM" 1
-1137 "EDPM" "TCEM" 0
-1136 "EDPM" "TCEM" 1
-1135 "EDPM" "TCEM" 2
-1134 "EDPM" "TCEM" 2
-1133 "EDPM" "TCEM" 3
-1132 "EDPM" "TCEM" 2
-1131 "EDPM" "TCEM" 1
-1130 "EDPM" "TCEM" 1
-1129 "EDPM" "TCEM" 3
-1128 "EDPM" "TCEM" 4
-1127 "EDPM" "TCEM" 2
-1126 "EDPM" "TCEM" 3
-1125 "EDPM" "TCEM" 5
-1124 "EDPM" "TCEM" 3
-1123 "EDPM" "TCEM" 2
-1122 "EDPM" "TCEM" 0
-1121 "EDPM" "TCEM" 2
-1120 "EDPM" "TCEM" 0
-1119 "EDPM" "TCEM" 3
-1118 "EDPM" "TCEM" 1
-1117 "EDPM" "TCEM" 2
-1116 "EDPM" "TCEM" 2
-1115 "EDPM" "TCEM" 2
-1114 "EDPM" "TCEM" 3
-1113 "EDPM" "TCEM" 5
-1112 "EDPM" "TCEM" 3
-1111 "EDPM" "TCEM" 2
-1110 "EDPM" "TCEM" 1
-1109 "EDPM" "TCEM" 4
-1108 "EDPM" "TCEM" 6
-1107 "EDPM" "TCEM" 1
-1106 "EDPM" "TCEM" 0
-1105 "EDPM" "TCEM" 5
-1104 "EDPM" "TCEM" 4
-1103 "EDPM" "TCEM" 1
-1102 "EDPM" "TCEM" 6
-1101 "EDPM" "TCEM" 3
-1100 "EDPM" "TCEM" 3
-1099 "EDPM" "TCEM" 0
-1098 "EDPM" "TCEM" 1
-1097 "EDPM" "TCEM" 1
-1096 "EDPM" "TCEM" 3
-1095 "EDPM" "TCEM" 3
-1094 "EDPM" "TCEM" 1
-1093 "EDPM" "TCEM" 0
-1092 "EDPM" "TCEM" 3
