"t","L1_cat","L2_cat","counts"
-1686,"EF","EFSS",0
-1686,"EDPM","TCEM",3
-1685,"EF","EFTF",1
-1685,"EF","EFSS",2
-1685,"EDPM","TCEM",4
-1684,"EF","EFTF",0
-1684,"EF","EFSS",0
-1684,"EDPM","TCEM",3
-1683,"EF","EFTF",1
-1683,"EF","EFSS",0
-1683,"EDPM","TCEM",7
-1682,"EF","EFTF",1
-1682,"EF","EFSS",0
-1682,"EDPM","TCEM",5
-1681,"EF","EFTF",0
-1681,"EF","EFSS",0
-1681,"EDPM","TCEM",2
-1680,"EF","EFTF",0
-1680,"EF","EFSS",0
-1680,"EDPM","TCEM",2
-1679,"EF","EFTF",1
-1679,"EF","EFSS",0
-1679,"EDPM","TCEM",5
-1678,"EF","EFTF",0
-1678,"EF","EFSS",1
-1678,"EDPM","TCEM",7
-1677,"EF","EFTF",2
-1677,"EF","EFSS",1
-1677,"EDPM","TCEM",5
-1676,"EF","EFTF",0
-1676,"EF","EFSS",0
-1676,"EDPM","TCEM",9
-1675,"EF","EFTF",1
-1675,"EF","EFSS",0
-1675,"EDPM","TCEM",3
-1674,"EF","EFTF",0
-1674,"EF","EFSS",1
-1674,"EDPM","TCEM",3
-1673,"EF","EFTF",0
-1673,"EF","EFSS",1
-1673,"EDPM","TCEM",7
-1672,"EF","EFTF",0
-1672,"EF","EFSS",0
-1672,"EDPM","TCEM",3
-1671,"EF","EFTF",0
-1671,"EF","EFSS",0
-1671,"EDPM","TCEM",2
-1670,"EF","EFTF",0
-1670,"EF","EFSS",0
-1670,"EDPM","TCEM",3
-1669,"EF","EFTF",0
-1669,"EF","EFSS",0
-1669,"EDPM","TCEM",9
-1668,"EF","EFTF",0
-1668,"EF","EFSS",0
-1668,"EDPM","TCEM",3
-1667,"EF","EFTF",1
-1667,"EF","EFSS",0
-1667,"EDPM","TCEM",7
-1666,"EF","EFTF",0
-1666,"EF","EFSS",0
-1666,"EDPM","TCEM",7
-1665,"EF","EFTF",0
-1665,"EF","EFSS",1
-1665,"EDPM","TCEM",3
-1664,"EF","EFTF",0
-1664,"EF","EFSS",0
-1664,"EDPM","TCEM",2
-1663,"EF","EFTF",0
-1663,"EF","EFSS",0
-1663,"EDPM","TCEM",9
-1662,"EF","EFTF",0
-1662,"EF","EFSS",0
-1662,"EDPM","TCEM",3
-1661,"EF","EFTF",2
-1661,"EF","EFSS",0
-1661,"EDPM","TCEM",5
-1660,"EF","EFTF",0
-1660,"EF","EFSS",0
-1660,"EDPM","TCEM",9
-1659,"EF","EFTF",2
-1659,"EF","EFSS",0
-1659,"EDPM","TCEM",7
-1658,"EF","EFTF",3
-1658,"EF","EFSS",0
-1658,"EDPM","TCEM",11
-1657,"EF","EFTF",0
-1657,"EF","EFSS",0
-1657,"EDPM","TCEM",5
-1656,"EF","EFTF",0
-1656,"EF","EFSS",0
-1656,"EDPM","TCEM",2
-1655,"EF","EFTF",0
-1655,"EF","EFSS",0
-1655,"EDPM","TCEM",7
-1654,"EF","EFTF",0
-1654,"EF","EFSS",1
-1654,"EDPM","TCEM",10
-1653,"EF","EFTF",0
-1653,"EF","EFSS",1
-1653,"EDPM","TCEM",7
-1652,"EF","EFTF",0
-1652,"EF","EFSS",0
-1652,"EDPM","TCEM",7
-1651,"EF","EFTF",0
-1651,"EF","EFSS",0
-1651,"EDPM","TCEM",9
-1650,"EF","EFTF",0
-1650,"EF","EFSS",0
-1650,"EDPM","TCEM",6
-1649,"EF","EFTF",0
-1649,"EF","EFSS",0
-1649,"EDPM","TCEM",5
-1648,"EF","EFTF",2
-1648,"EF","EFSS",0
-1648,"EDPM","TCEM",9
-1647,"EF","EFTF",2
-1647,"EF","EFSS",0
-1647,"EDPM","TCEM",7
-1646,"EF","EFTF",1
-1646,"EF","EFSS",0
-1646,"EDPM","TCEM",2
-1645,"EF","EFTF",0
-1645,"EF","EFSS",0
-1645,"EDPM","TCEM",5
-1644,"EF","EFTF",1
-1644,"EF","EFSS",0
-1644,"EDPM","TCEM",7
-1643,"EF","EFTF",0
-1643,"EF","EFSS",0
-1643,"EDPM","TCEM",3
-1642,"EF","EFTF",1
-1642,"EF","EFSS",0
-1642,"EDPM","TCEM",3
-1641,"EF","EFTF",1
-1641,"EF","EFSS",0
-1641,"EDPM","TCEM",7
-1640,"EF","EFTF",0
-1640,"EF","EFSS",0
-1640,"EDPM","TCEM",4
-1639,"EF","EFTF",1
-1639,"EF","EFSS",0
-1639,"EDPM","TCEM",5
-1638,"EF","EFTF",2
-1638,"EF","EFSS",0
-1638,"EDPM","TCEM",6
-1637,"EF","EFTF",0
-1637,"EF","EFSS",0
-1637,"EDPM","TCEM",6
-1636,"EF","EFTF",0
-1636,"EF","EFSS",0
-1636,"EDPM","TCEM",6
-1635,"EF","EFTF",1
-1635,"EF","EFSS",0
-1635,"EDPM","TCEM",8
-1634,"EF","EFTF",0
-1634,"EF","EFSS",0
-1634,"EDPM","TCEM",6
-1633,"EF","EFTF",1
-1633,"EF","EFSS",0
-1633,"EDPM","TCEM",1
-1632,"EF","EFTF",2
-1632,"EF","EFSS",1
-1632,"EDPM","TCEM",7
-1631,"EF","EFTF",0
-1631,"EF","EFSS",0
-1631,"EDPM","TCEM",6
-1630,"EF","EFTF",1
-1630,"EF","EFSS",0
-1630,"EDPM","TCEM",5
-1629,"EF","EFTF",0
-1629,"EF","EFSS",0
-1629,"EDPM","TCEM",2
-1628,"EF","EFTF",1
-1628,"EF","EFSS",0
-1628,"EDPM","TCEM",7
-1627,"EF","EFTF",1
-1627,"EF","EFSS",0
-1627,"EDPM","TCEM",3
-1626,"EF","EFTF",1
-1626,"EF","EFSS",0
-1626,"EDPM","TCEM",5
-1625,"EF","EFTF",0
-1625,"EF","EFSS",0
-1625,"EDPM","TCEM",4
-1624,"EF","EFTF",0
-1624,"EF","EFSS",0
-1624,"EDPM","TCEM",6
-1623,"EF","EFTF",1
-1623,"EF","EFSS",1
-1623,"EDPM","TCEM",5
-1622,"EF","EFTF",0
-1622,"EF","EFSS",0
-1622,"EDPM","TCEM",5
-1621,"EF","EFTF",0
-1621,"EF","EFSS",0
-1621,"EDPM","TCEM",6
-1620,"EF","EFTF",1
-1620,"EF","EFSS",0
-1620,"EDPM","TCEM",7
-1619,"EF","EFTF",0
-1619,"EF","EFSS",0
-1619,"EDPM","TCEM",6
-1618,"EF","EFTF",1
-1618,"EF","EFSS",1
-1618,"EDPM","TCEM",5
-1617,"EF","EFTF",0
-1617,"EF","EFSS",1
-1617,"EDPM","TCEM",4
-1616,"EF","EFTF",1
-1616,"EF","EFSS",1
-1616,"EDPM","TCEM",10
-1615,"EF","EFTF",1
-1615,"EF","EFSS",1
-1615,"EDPM","TCEM",5
-1614,"EF","EFTF",1
-1614,"EF","EFSS",0
-1614,"EDPM","TCEM",3
-1613,"EF","EFTF",0
-1613,"EF","EFSS",0
-1613,"EDPM","TCEM",5
-1612,"EF","EFTF",0
-1612,"EF","EFSS",0
-1612,"EDPM","TCEM",6
-1611,"EF","EFTF",0
-1611,"EF","EFSS",0
-1611,"EDPM","TCEM",6
-1610,"EF","EFTF",1
-1610,"EF","EFSS",1
-1610,"EDPM","TCEM",4
-1609,"EF","EFTF",0
-1609,"EF","EFSS",0
-1609,"EDPM","TCEM",4
-1608,"EF","EFTF",0
-1608,"EF","EFSS",0
-1608,"EDPM","TCEM",3
-1607,"EF","EFTF",0
-1607,"EF","EFSS",0
-1607,"EDPM","TCEM",2
-1606,"EF","EFTF",0
-1606,"EF","EFSS",1
-1606,"EDPM","TCEM",6
-1605,"EF","EFTF",1
-1605,"EF","EFSS",1
-1605,"EDPM","TCEM",4
-1604,"EF","EFTF",1
-1604,"EF","EFSS",0
-1604,"EDPM","TCEM",3
-1603,"EF","EFTF",0
-1603,"EF","EFSS",1
-1603,"EDPM","TCEM",4
-1602,"EF","EFTF",0
-1602,"EF","EFSS",0
-1602,"EDPM","TCEM",2
-1601,"EF","EFTF",2
-1601,"EF","EFSS",1
-1601,"EDPM","TCEM",4
-1600,"EF","EFTF",0
-1600,"EF","EFSS",0
-1600,"EDPM","TCEM",5
-1599,"EF","EFTF",0
-1599,"EF","EFSS",0
-1599,"EDPM","TCEM",5
-1598,"EF","EFTF",0
-1598,"EF","EFSS",0
-1598,"EDPM","TCEM",5
-1597,"EF","EFTF",0
-1597,"EF","EFSS",0
-1597,"EDPM","TCEM",7
-1596,"EF","EFTF",0
-1596,"EF","EFSS",0
-1596,"EDPM","TCEM",4
-1595,"EF","EFTF",0
-1595,"EF","EFSS",0
-1595,"EDPM","TCEM",4
-1594,"EF","EFTF",1
-1594,"EF","EFSS",0
-1594,"EDPM","TCEM",4
-1593,"EF","EFTF",0
-1593,"EF","EFSS",0
-1593,"EDPM","TCEM",2
-1592,"EF","EFTF",1
-1592,"EF","EFSS",0
-1592,"EDPM","TCEM",6
-1591,"EF","EFTF",0
-1591,"EF","EFSS",0
-1591,"EDPM","TCEM",9
-1590,"EF","EFTF",0
-1590,"EF","EFSS",0
-1590,"EDPM","TCEM",3
-1589,"EF","EFTF",1
-1589,"EF","EFSS",1
-1589,"EDPM","TCEM",7
-1588,"EF","EFTF",0
-1588,"EF","EFSS",0
-1588,"EDPM","TCEM",6
-1587,"EF","EFTF",0
-1587,"EF","EFSS",0
-1587,"EDPM","TCEM",8
-1586,"EF","EFTF",0
-1586,"EF","EFSS",0
-1586,"EDPM","TCEM",6
-1585,"EF","EFTF",1
-1585,"EF","EFSS",0
-1585,"EDPM","TCEM",5
-1584,"EF","EFTF",0
-1584,"EF","EFSS",0
-1584,"EDPM","TCEM",5
-1583,"EF","EFTF",1
-1583,"EF","EFSS",0
-1583,"EDPM","TCEM",8
-1582,"EF","EFTF",0
-1582,"EF","EFSS",1
-1582,"EDPM","TCEM",5
-1581,"EF","EFTF",0
-1581,"EF","EFSS",0
-1581,"EDPM","TCEM",7
-1580,"EF","EFTF",1
-1580,"EF","EFSS",0
-1580,"EDPM","TCEM",4
-1579,"EF","EFTF",0
-1579,"EF","EFSS",0
-1579,"EDPM","TCEM",4
-1578,"EF","EFTF",0
-1578,"EF","EFSS",0
-1578,"EDPM","TCEM",8
-1577,"EF","EFTF",0
-1577,"EF","EFSS",0
-1577,"EDPM","TCEM",2
-1576,"EF","EFTF",1
-1576,"EF","EFSS",0
-1576,"EDPM","TCEM",6
-1575,"EF","EFTF",1
-1575,"EF","EFSS",0
-1575,"EDPM","TCEM",8
-1574,"EF","EFTF",2
-1574,"EF","EFSS",1
-1574,"EDPM","TCEM",5
-1573,"EF","EFTF",0
-1573,"EF","EFSS",0
-1573,"EDPM","TCEM",5
-1572,"EF","EFTF",1
-1572,"EF","EFSS",1
-1572,"EDPM","TCEM",7
-1571,"EF","EFTF",0
-1571,"EF","EFSS",0
-1571,"EDPM","TCEM",3
-1570,"EF","EFTF",1
-1570,"EF","EFSS",0
-1570,"EDPM","TCEM",3
-1569,"EF","EFTF",0
-1569,"EF","EFSS",0
-1569,"EDPM","TCEM",6
-1568,"EF","EFTF",0
-1568,"EF","EFSS",0
-1568,"EDPM","TCEM",3
-1567,"EF","EFTF",1
-1567,"EF","EFSS",1
-1567,"EDPM","TCEM",5
-1566,"EF","EFTF",0
-1566,"EF","EFSS",0
-1566,"EDPM","TCEM",6
-1565,"EF","EFTF",1
-1565,"EF","EFSS",1
-1565,"EDPM","TCEM",5
-1564,"EF","EFTF",0
-1564,"EF","EFSS",0
-1564,"EDPM","TCEM",3
-1563,"EF","EFTF",0
-1563,"EF","EFSS",0
-1563,"EDPM","TCEM",2
-1562,"EF","EFTF",1
-1562,"EF","EFSS",0
-1562,"EDPM","TCEM",3
-1561,"EF","EFTF",1
-1561,"EF","EFSS",0
-1561,"EDPM","TCEM",7
-1560,"EF","EFTF",0
-1560,"EF","EFSS",0
-1560,"EDPM","TCEM",6
-1559,"EF","EFTF",0
-1559,"EF","EFSS",0
-1559,"EDPM","TCEM",3
-1558,"EF","EFTF",0
-1558,"EF","EFSS",0
-1558,"EDPM","TCEM",7
-1557,"EF","EFTF",0
-1557,"EF","EFSS",0
-1557,"EDPM","TCEM",4
-1556,"EF","EFTF",1
-1556,"EF","EFSS",1
-1556,"EDPM","TCEM",5
-1555,"EF","EFTF",1
-1555,"EF","EFSS",0
-1555,"EDPM","TCEM",3
-1554,"EF","EFTF",1
-1554,"EF","EFSS",0
-1554,"EDPM","TCEM",7
-1553,"EF","EFTF",0
-1553,"EF","EFSS",1
-1553,"EDPM","TCEM",8
-1552,"EF","EFTF",1
-1552,"EF","EFSS",0
-1552,"EDPM","TCEM",5
-1551,"EF","EFTF",0
-1551,"EF","EFSS",1
-1551,"EDPM","TCEM",4
-1550,"EF","EFTF",1
-1550,"EF","EFSS",0
-1550,"EDPM","TCEM",2
-1549,"EF","EFTF",1
-1549,"EF","EFSS",1
-1549,"EDPM","TCEM",3
-1548,"EF","EFTF",1
-1548,"EF","EFSS",0
-1548,"EDPM","TCEM",3
-1547,"EF","EFTF",1
-1547,"EF","EFSS",0
-1547,"EDPM","TCEM",5
-1546,"EF","EFTF",2
-1546,"EF","EFSS",0
-1546,"EDPM","TCEM",5
-1545,"EF","EFTF",0
-1545,"EF","EFSS",0
-1545,"EDPM","TCEM",5
-1544,"EF","EFTF",0
-1544,"EF","EFSS",0
-1544,"EDPM","TCEM",9
-1543,"EF","EFTF",0
-1543,"EF","EFSS",0
-1543,"EDPM","TCEM",3
-1542,"EF","EFTF",0
-1542,"EF","EFSS",0
-1542,"EDPM","TCEM",5
-1541,"EF","EFTF",1
-1541,"EF","EFSS",0
-1541,"EDPM","TCEM",5
-1540,"EF","EFTF",0
-1540,"EF","EFSS",0
-1540,"EDPM","TCEM",10
-1539,"EF","EFTF",1
-1539,"EF","EFSS",0
-1539,"EDPM","TCEM",6
-1538,"EF","EFTF",0
-1538,"EF","EFSS",1
-1538,"EDPM","TCEM",5
-1537,"EF","EFTF",0
-1537,"EF","EFSS",2
-1537,"EDPM","TCEM",3
-1536,"EF","EFTF",0
-1536,"EF","EFSS",0
-1536,"EDPM","TCEM",1
-1535,"EF","EFTF",0
-1535,"EF","EFSS",0
-1535,"EDPM","TCEM",3
-1534,"EF","EFTF",0
-1534,"EF","EFSS",0
-1534,"EDPM","TCEM",5
-1533,"EF","EFTF",0
-1533,"EF","EFSS",0
-1533,"EDPM","TCEM",7
-1532,"EF","EFTF",0
-1532,"EF","EFSS",0
-1532,"EDPM","TCEM",6
-1531,"EF","EFTF",1
-1531,"EF","EFSS",1
-1531,"EDPM","TCEM",5
-1530,"EF","EFTF",1
-1530,"EF","EFSS",0
-1530,"EDPM","TCEM",8
-1529,"EF","EFTF",2
-1529,"EF","EFSS",0
-1529,"EDPM","TCEM",5
